tomb_id,latitude_x,longitude_x,quantity,period,region,county,county_ft,latitude_y,longitude_y,period_ft,start_date,end_date,distance
100,34.7594087569095,113.66162171264,1.0,Western Han,henan,wancheng,莞城 ,34.7525940944185,113.690633856124,前漢 ,-202,9,2.76
101,34.7594087569095,113.66162171264,1.0,Western Han,henan,wancheng,莞城 ,34.7525940944185,113.690633856124,前漢 ,-202,9,2.76
102,34.7594087569095,113.66162171264,1.0,Western Han,henan,wancheng,莞城 ,34.7525940944185,113.690633856124,前漢 ,-202,9,2.76
103,34.6978745492996,112.424942855755,1.0,Western Han,henan,henan,河南 ,34.6774314395294,112.414770336201,前漢 ,-202,9,2.46
104,34.7282156816311,112.518936887404,17.0,Western Han,henan,henan,河南 ,34.6774314395294,112.414770336201,前漢 ,-202,9,11.07
105,34.7282156816311,112.518936887404,9.0,Western Han,henan,henan,河南 ,34.6774314395294,112.414770336201,前漢 ,-202,9,11.07
106,34.7282156816311,112.518936887404,13.0,Western Han,henan,henan,河南 ,34.6774314395294,112.414770336201,前漢 ,-202,9,11.07
107,34.7282156816311,112.518936887404,6.0,Eastern Han,henan,henan,河南 ,34.6774314395294,112.414770336201,後漢 ,25,220,11.07
108,34.7007728454728,112.476929862011,1.0,Western Han,henan,henan,河南 ,34.6774314395294,112.414770336201,前漢 ,-202,9,6.25
109,33.0165664309201,112.534490111586,1.0,Western Han,henan,wanxian,宛縣 ,33.0095008060053,112.527263265578,前漢 ,-202,9,1.04
110,33.0165664309201,112.534490111586,1.0,Western Han,henan,wanxian,宛縣 ,33.0095008060053,112.527263265578,前漢 ,-202,9,1.04
111,33.0165664309201,112.534490111586,1.0,Western Han,henan,wanxian,宛縣 ,33.0095008060053,112.527263265578,前漢 ,-202,9,1.04
112,33.0165664309201,112.534490111586,1.0,Western Han,henan,wanxian,宛縣 ,33.0095008060053,112.527263265578,前漢 ,-202,9,1.04
113,32.6322302781341,112.42030425574,10.0,Western Han,henan,xinye,新野 ,32.5192864828954,112.368693816133,前漢 ,-202,9,13.46
114,32.6322302781341,112.42030425574,37.0,Western Han,henan,xinye,新野 ,32.5192864828954,112.368693816133,前漢 ,-202,9,13.46
115,34.699300576846,112.454082173308,2.0,Western Han,henan,henan,河南 ,34.6774314395294,112.414770336201,前漢 ,-202,9,4.34
116,34.685169222862,112.464602293266,1.0,Western Han,henan,henan,河南 ,34.6774314395294,112.414770336201,前漢 ,-202,9,4.64
117,34.7433852629198,112.024980610327,20.0,Western Han,henan,xinan,新安 ,34.745436079829,111.867921769384,前漢 ,-202,9,14.35
118,34.7433852629198,112.024980610327,8.0,Western Han,henan,xinan,新安 ,34.745436079829,111.867921769384,前漢 ,-202,9,14.35
119,34.7433852629198,112.024980610327,8.0,Eastern Han,henan,xinan,新安 ,34.745436079829,111.867921769384,後漢 ,25,220,14.35
120,34.7870386703616,113.662760969385,1.0,Western Han,henan,wancheng,莞城 ,34.7525940944185,113.690633856124,前漢 ,-202,9,4.6
121,34.7386040306999,113.668430851959,1.0,Western Han,henan,wancheng,莞城 ,34.7525940944185,113.690633856124,前漢 ,-202,9,2.56
122,34.7421066269612,113.674763305957,1.0,Western Han,henan,wancheng,莞城 ,34.7525940944185,113.690633856124,前漢 ,-202,9,1.86
123,34.7421066269612,113.674763305957,1.0,Western Han,henan,wancheng,莞城 ,34.7525940944185,113.690633856124,前漢 ,-202,9,1.86
124,34.6863718068192,112.455243039332,1.0,Western Han,henan,henan,河南 ,34.6774314395294,112.414770336201,前漢 ,-202,9,3.83
125,32.4507410153295,112.710131905025,7.0,Western Han,henan,huyang,湖陽 ,32.3374342611367,112.731678645717,前漢 ,-202,9,12.76
126,34.6801378335835,112.447148319254,1.0,Western Han,henan,henan,河南 ,34.6774314395294,112.414770336201,前漢 ,-202,9,2.98
127,34.6401544677926,112.390129385913,1.0,Western Han,henan,henan,河南 ,34.6774314395294,112.414770336201,前漢 ,-202,9,4.72
128,33.0917955857511,112.650711416501,1.0,Eastern Han,henan,wanxian,宛縣 ,33.0095008060053,112.527263265578,後漢 ,25,220,14.7
